#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1992-10-01 to 2022-10-01
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 526: Hogg Pass, OR
#	SNOTEL 733: Santiam Jct., OR
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 1992-10-01 to 2022-10-01
#
# As of: Oct 6, 2022 2:33:27 PM GMT-08:00
#
Station Name,Year,Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Hogg Pass,1994,29,13.5,,26.5,22.1,0.0,0.0,0.0,0.0,0.0,0.5,14.8,23.5
Hogg Pass,1994,30,13.5,,27.0,21.3,0.0,0.0,0.0,0.0,0.0,1.1,15.3,23.5
Hogg Pass,1994,31,13.5,,27.0,,0.0,,0.0,0.0,,1.1,,23.5
Hogg Pass,1995,01,23.5,33.0,34.0,39.0,39.2,2.5,0.0,0.0,0.0,0.0,0.0,0.2
Hogg Pass,1995,02,23.5,32.0,34.0,39.0,39.2,2.1,0.0,0.0,0.0,0.0,0.0,1.3
Hogg Pass,1995,03,23.5,31.1,34.0,39.0,38.2,2.0,0.0,0.0,0.0,0.0,0.0,2.2
Hogg Pass,1995,04,23.5,30.9,33.2,39.0,37.3,2.1,0.0,0.0,0.0,0.0,0.0,3.1
Hogg Pass,1995,05,23.5,30.8,34.5,39.0,36.8,1.9,0.0,0.0,0.0,0.0,0.0,3.1
Hogg Pass,1995,06,23.8,30.8,34.9,39.0,36.3,2.1,0.0,0.0,0.0,0.0,0.1,4.6
Hogg Pass,1995,07,24.2,30.8,35.0,39.2,35.8,2.7,0.0,0.0,0.0,0.0,0.3,4.8
Hogg Pass,1995,08,24.4,30.9,35.0,40.1,35.5,2.2,0.0,0.0,0.0,0.0,0.4,4.8
Hogg Pass,1995,09,25.2,30.9,35.7,40.9,34.6,2.0,0.0,0.0,0.0,0.0,0.3,4.9
Hogg Pass,1995,10,24.5,31.0,36.3,41.2,34.0,1.5,0.0,0.0,0.0,0.0,0.2,4.5
Hogg Pass,1995,11,24.5,31.0,36.1,41.5,33.5,0.0,0.0,0.0,0.0,0.0,0.4,4.7
Hogg Pass,1995,12,25.0,31.8,35.7,41.7,33.7,0.0,0.0,0.0,0.0,0.0,0.3,4.5
Hogg Pass,1995,13,26.3,33.0,36.0,42.0,33.1,0.0,0.0,0.0,0.0,0.0,0.4,4.4
Hogg Pass,1995,14,28.8,33.5,36.8,41.3,33.1,0.0,0.0,0.0,0.0,0.0,0.3,5.1
Hogg Pass,1995,15,29.8,33.6,37.6,41.6,32.6,0.0,0.0,0.0,0.0,0.0,0.0,7.1
Hogg Pass,1995,16,30.2,34.2,37.7,41.6,31.5,0.0,0.0,0.0,0.0,0.0,0.0,7.3
Hogg Pass,1995,17,30.3,34.6,36.7,41.2,30.3,0.0,0.0,0.0,0.0,0.0,0.0,7.3
Hogg Pass,1995,18,30.9,37.8,36.6,41.6,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
Hogg Pass,1995,19,31.3,36.5,38.0,41.8,27.5,0.0,0.0,0.0,0.0,0.0,0.0,7.4
Hogg Pass,1995,20,31.3,35.3,37.5,42.3,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
Hogg Pass,1995,21,31.3,34.0,38.0,42.5,24.3,0.0,0.0,0.0,0.0,0.0,0.0,7.4
Hogg Pass,1995,22,31.3,34.0,38.0,42.2,22.9,0.0,0.0,0.0,0.0,0.0,0.0,7.4
Hogg Pass,1995,23,31.3,34.0,38.2,41.9,21.3,0.0,0.0,0.0,0.0,0.1,0.0,7.4
Hogg Pass,1995,24,31.3,34.0,38.4,41.7,20.1,0.0,0.0,0.0,0.0,0.2,0.0,7.4
Hogg Pass,1995,25,31.3,34.0,38.8,42.6,18.3,0.0,0.0,0.0,0.0,0.0,0.0,7.4
Hogg Pass,1995,26,31.6,34.0,38.8,41.8,16.6,0.0,0.0,0.0,0.0,0.0,2.5,7.5
Hogg Pass,1995,27,32.0,34.0,38.9,40.4,14.6,0.0,0.0,0.0,0.0,0.0,2.6,7.5
Hogg Pass,1995,28,32.3,34.0,38.9,40.1,12.5,0.0,0.0,0.0,0.0,0.0,4.6,7.7
Hogg Pass,1995,29,32.5,,38.9,39.5,10.0,0.0,0.0,0.0,0.0,0.0,3.0,8.3
Hogg Pass,1995,30,32.3,,38.9,39.2,6.7,0.0,0.0,0.0,0.0,0.0,1.3,9.3
Hogg Pass,1995,31,32.3,,38.9,,4.0,,0.0,0.0,,0.0,,8.0
Hogg Pass,1996,01,7.8,36.7,43.6,48.3,36.8,2.1,0.0,0.0,0.0,0.0,3.4,11.2
Hogg Pass,1996,02,7.4,36.7,43.6,48.5,35.0,0.3,0.0,0.0,0.0,0.0,3.4,12.0
Hogg Pass,1996,03,6.7,36.7,43.9,48.8,34.2,0.0,0.0,0.0,0.0,0.0,3.4,13.5
Hogg Pass,1996,04,6.8,37.0,44.1,48.8,33.4,0.0,0.0,0.0,0.0,0.0,3.5,13.6
Hogg Pass,1996,05,7.6,37.3,44.8,48.8,32.9,0.0,0.0,0.0,0.0,0.0,4.1,14.4
Hogg Pass,1996,06,8.0,38.9,45.4,47.2,33.2,0.0,0.0,0.0,0.0,0.0,4.1,15.8
Hogg Pass,1996,07,7.7,37.8,45.6,46.1,32.6,0.0,0.0,0.0,0.0,0.0,4.5,16.9
Hogg Pass,1996,08,7.6,35.2,45.7,43.1,31.4,0.0,0.0,0.0,0.0,0.0,4.4,18.8
Hogg Pass,1996,09,7.3,34.3,45.3,41.0,31.3,0.0,0.0,0.0,0.0,0.0,4.4,20.3
Hogg Pass,1996,10,8.0,34.3,45.1,40.8,29.4,0.0,0.0,0.0,0.0,0.0,4.4,21.0
Hogg Pass,1996,11,8.1,34.3,45.5,40.7,28.1,0.0,0.0,0.0,0.0,0.0,4.4,22.4
Hogg Pass,1996,12,7.9,34.3,45.7,41.0,26.4,0.0,0.0,0.0,0.0,0.0,4.4,23.3
Hogg Pass,1996,13,7.1,34.3,44.7,41.8,24.9,0.0,0.0,0.0,0.0,0.0,4.4,23.9
Hogg Pass,1996,14,7.1,34.3,44.6,41.6,23.2,0.0,0.0,0.0,0.0,0.0,4.1,25.3
Hogg Pass,1996,15,7.6,34.3,44.3,41.6,21.8,0.0,0.0,0.0,0.0,0.0,4.6,25.3
Hogg Pass,1996,16,9.0,34.2,43.6,41.6,20.0,0.0,0.0,0.0,0.0,0.0,5.0,25.3
Hogg Pass,1996,17,10.9,34.1,43.6,40.3,18.5,0.0,0.0,0.0,0.0,0.4,6.0,25.4
Hogg Pass,1996,18,12.1,35.0,43.5,40.6,18.0,0.0,0.0,0.0,0.0,0.3,7.3,25.4
Hogg Pass,1996,19,14.6,34.0,43.5,39.5,17.7,0.0,0.0,0.0,0.0,1.7,10.5,25.4
Hogg Pass,1996,20,17.8,34.4,43.5,38.2,17.8,0.0,0.0,0.0,0.0,2.3,9.6,25.6
Hogg Pass,1996,21,21.7,35.4,43.5,37.1,16.7,0.0,0.0,0.0,0.0,2.3,9.6,27.0
Hogg Pass,1996,22,23.9,36.4,43.6,37.2,15.8,0.0,0.0,0.0,0.0,2.3,9.5,27.3
Hogg Pass,1996,23,25.1,37.9,43.6,38.6,16.8,0.0,0.0,0.0,0.0,2.1,9.5,27.6
Hogg Pass,1996,24,27.6,40.9,43.6,42.1,16.7,0.0,0.0,0.0,0.0,2.1,9.5,29.3
Hogg Pass,1996,25,29.7,41.4,42.7,39.3,15.7,0.0,0.0,0.0,0.0,2.6,9.8,30.7
Hogg Pass,1996,26,30.8,41.5,43.2,38.5,13.4,0.0,0.0,0.0,0.0,3.4,9.8,32.5
Hogg Pass,1996,27,31.6,41.6,43.6,38.0,11.0,0.0,0.0,0.0,0.0,3.4,9.8,32.2
Hogg Pass,1996,28,33.9,42.6,44.3,38.0,8.7,0.0,0.0,0.0,0.0,3.4,9.9,32.7
Hogg Pass,1996,29,36.3,43.6,44.3,37.8,7.9,0.0,0.0,0.0,0.0,3.5,10.4,33.5
Hogg Pass,1996,30,36.7,,45.6,37.4,6.5,0.0,0.0,0.0,0.0,3.4,10.5,33.9
Hogg Pass,1996,31,36.7,,46.0,,4.0,,0.0,0.0,,3.4,,33.7
Hogg Pass,1997,01,33.4,39.0,42.1,48.3,45.5,1.1,0.0,0.0,0.0,0.0,0.0,3.2
Hogg Pass,1997,02,32.6,37.2,43.6,48.4,45.6,0.5,0.0,0.0,0.0,0.0,0.0,3.2
Hogg Pass,1997,03,33.0,36.7,44.9,48.4,45.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2
Hogg Pass,1997,04,33.4,36.7,45.4,48.3,45.9,0.0,0.0,0.0,0.0,0.0,0.0,3.2
Hogg Pass,1997,05,33.3,36.7,45.6,48.2,45.9,0.0,0.0,0.0,0.0,0.0,0.0,3.2
Hogg Pass,1997,06,33.4,36.7,45.8,48.1,45.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2
Hogg Pass,1997,07,33.6,36.9,46.2,48.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2
Hogg Pass,1997,08,33.8,37.0,46.9,48.1,44.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2
Hogg Pass,1997,09,33.8,37.2,46.9,48.5,44.1,0.0,0.0,0.0,0.0,0.4,0.0,4.1
Hogg Pass,1997,10,33.8,37.4,46.9,48.7,43.2,0.0,0.0,0.0,0.0,0.7,0.0,4.3
Hogg Pass,1997,11,33.8,37.4,49.2,48.7,42.0,0.0,0.0,0.0,0.0,0.7,0.0,4.3
Hogg Pass,1997,12,33.8,37.4,49.4,48.7,40.6,0.0,0.0,0.0,0.0,1.5,0.0,4.3
Hogg Pass,1997,13,33.8,37.8,49.6,48.8,38.8,0.0,0.0,0.0,0.0,1.4,0.0,4.3
Hogg Pass,1997,14,33.8,38.1,49.7,49.0,37.3,0.0,0.0,0.0,0.0,1.3,0.0,4.5
Hogg Pass,1997,15,33.8,38.5,49.7,50.3,35.6,0.0,0.0,0.0,0.0,1.2,0.0,4.8
Hogg Pass,1997,16,33.8,38.5,52.1,51.2,33.4,0.0,0.0,0.0,0.0,0.9,0.0,6.1
Hogg Pass,1997,17,33.8,38.5,51.5,51.1,31.1,0.0,0.0,0.0,0.0,0.6,0.0,7.0
Hogg Pass,1997,18,34.9,39.0,50.4,50.6,28.6,0.0,0.0,0.0,0.0,0.2,0.8,7.1
Hogg Pass,1997,19,34.5,39.1,49.6,50.1,26.4,0.0,0.0,0.0,0.0,0.0,1.1,7.1
Hogg Pass,1997,20,34.2,40.5,49.7,51.4,24.1,0.0,0.0,0.0,0.0,0.0,1.6,7.1
Hogg Pass,1997,21,34.5,40.7,49.4,49.9,22.0,0.0,0.0,0.0,0.0,0.0,2.2,7.4
Hogg Pass,1997,22,34.7,40.8,48.7,48.2,19.9,0.0,0.0,0.0,0.0,0.0,2.3,7.4
Hogg Pass,1997,23,34.7,40.8,48.1,47.6,18.3,0.0,0.0,0.0,0.0,0.0,2.4,7.6
Hogg Pass,1997,24,35.0,40.8,47.6,48.0,16.9,0.0,0.0,0.0,0.0,0.0,2.4,7.9
Hogg Pass,1997,25,35.0,40.9,47.3,47.0,16.0,0.0,0.0,0.0,0.0,0.0,2.6,7.9
Hogg Pass,1997,26,36.2,41.2,46.9,46.2,15.2,0.0,0.0,0.0,0.0,0.0,2.8,8.0
Hogg Pass,1997,27,36.6,41.6,47.7,45.9,13.4,0.0,0.0,0.0,0.0,0.0,2.9,8.3
Hogg Pass,1997,28,37.0,42.1,47.7,45.8,11.3,0.0,0.0,0.0,0.0,0.0,2.9,8.3
Hogg Pass,1997,29,37.3,,47.5,45.4,9.6,0.0,0.0,0.0,0.0,0.0,2.8,8.3
Hogg Pass,1997,30,37.3,,47.3,45.2,6.4,0.0,0.0,0.0,0.0,0.0,3.1,8.3
Hogg Pass,1997,31,38.7,,47.5,,2.9,,0.0,0.0,,0.0,,8.0
Hogg Pass,1998,01,7.8,23.8,34.0,35.1,27.4,9.0,0.0,0.0,0.0,0.0,0.3,12.8
Hogg Pass,1998,02,8.2,24.1,34.2,35.1,26.2,7.1,0.0,0.0,0.0,0.0,0.3,14.7
Hogg Pass,1998,03,8.9,24.2,34.8,35.1,24.9,5.5,0.0,0.0,0.0,0.0,0.2,16.3
Hogg Pass,1998,04,9.8,24.4,35.5,35.3,23.8,4.6,0.0,0.0,0.0,0.0,0.3,16.6
Hogg Pass,1998,05,10.2,24.4,35.7,35.2,22.6,2.7,0.0,0.0,0.0,0.0,0.4,16.7
Hogg Pass,1998,06,11.0,25.0,35.7,35.2,20.8,0.8,0.0,0.0,0.0,0.0,0.8,17.5
Hogg Pass,1998,07,12.0,25.2,35.7,35.3,19.6,0.0,0.0,0.0,0.0,0.0,1.0,18.0
Hogg Pass,1998,08,12.8,25.2,35.9,35.4,18.1,0.0,0.0,0.0,0.0,0.0,1.6,19.4
Hogg Pass,1998,09,12.8,25.5,36.5,35.5,17.4,0.0,0.0,0.0,0.0,0.0,1.8,19.9
Hogg Pass,1998,10,12.9,25.5,36.5,35.9,17.0,0.0,0.0,0.0,0.0,0.0,1.8,20.0
Hogg Pass,1998,11,13.7,26.0,36.5,36.2,16.7,0.0,0.0,0.0,0.0,0.0,2.3,20.5
Hogg Pass,1998,12,15.8,26.3,36.5,36.6,16.4,0.0,0.0,0.0,0.0,0.0,2.3,20.3
Hogg Pass,1998,13,17.3,27.1,36.4,36.8,16.5,0.0,0.0,0.0,0.0,0.0,2.3,20.0
Hogg Pass,1998,14,18.2,27.3,36.1,36.9,16.2,0.0,0.0,0.0,0.0,0.0,2.1,20.0
Hogg Pass,1998,15,19.3,28.1,36.0,37.2,17.0,0.0,0.0,0.0,0.0,0.0,2.2,20.0
Hogg Pass,1998,16,19.5,28.3,35.8,37.2,17.4,0.0,0.0,0.0,0.0,0.0,1.8,20.1
Hogg Pass,1998,17,20.3,28.4,35.6,37.0,17.8,0.0,0.0,0.0,0.0,0.0,1.8,20.1
Hogg Pass,1998,18,20.2,28.6,35.5,36.8,18.0,0.0,0.0,0.0,0.0,0.0,2.0,20.1
Hogg Pass,1998,19,20.4,28.9,35.5,36.6,17.5,0.0,0.0,0.0,0.0,0.0,2.3,20.1
